address,latitude,longitude,date,width,length,depth,category
부산광역시 북구 화명동 941-1번지 일원 지하철 2호선 상부도로,35.2230002,129.0090208,2018-07-23,5,1.5,1.7,타 지하시설물 시공불량
경상북도 청도군 금천면 동곡리 885-36,35.6857743,128.8931994,2018-07-23,3.5,10,2,"복합요인 (상수관로, 하수관로, 타 지하시설물 과다 매설)"
경기도 부천시 소사동 17-15,37.4849089,126.7923542,2018-07-23,1,1,0.5,맨홀 노후화
경기도 부천시 원미동 1-23번지,37.4991468,126.793116,2018-07-23,1,1,0.2,우수시설 파손
대구광역시 서구 평리동 평리네거리,,,2018-07-25,4,4,4,상수관로 파손
부산광역시 남구  석포로 64번길 69-1일원,,,2018-07-26,2,2,0.5,지반 시공불량
경기도 부천시 춘의동 155-1번지,37.5041293,126.7916873,2018-07-26,5.4,6,0.2,지반 시공불량
강원특별자치도 삼척시 가곡면 풍곡리 삼방공원,,,2018-08-01,2,45,0.1,연약지반
경기도 부천시 원미동 33-1번지,37.4986432,126.7907743,2018-08-01,3,10,0.2,지반 시공불량
부산광역시 북구 덕천동 814-1 덕천동 기비골 아파트 내 삼거리도로,35.2174247,129.0206383,2018-08-02,1,1,0.3,하수관로 파손
"부산광역시 부산진구  서전로 35 , 서전로 41",,,2018-08-06,2,1.2,1,타 지하시설물 시공불량
강원특별자치도 원주시 명륜동 성원 상가 나동,,,2018-08-08,2.8,2,1.5,상수관로 파손
강원특별자치도 원주시 흥업면 현대아파트 상가,,,2018-08-09,2,2,1.7,상수관로 파손
광주광역시 광산구 안청동 740-1,35.2132027,126.804473,2018-08-09,1.8,0.5,1,하수관로 파손
인천광역시 부평구  산곡사거리 금호아파트 인근,,,2018-08-10,6,6,0.5,상수관로 노후화
경기도 구리시 교문동 223-2번지 (중앙예식장 사거리),37.5993878,127.1361564,2018-08-11,0.3,0.3,0.5,하수관로 시공불량
광주광역시 북구 우산동 232-1(구두수선소 앞),35.1720103,126.9222626,2018-08-12,0.5,0.5,1,하수관거 파손
경기도 부천시  까치울사거리역,,,2018-08-12,4,4,0.3,맨홀 파손
경상남도 진주시  천전동 동부농협 오거리,,,2018-08-13,1,1.2,1.5,하수관로 파손
경기도 부천시 심곡동 349-6,37.4881923,126.7833429,2018-08-15,1,1,0.5,하수관로 노후화
경기도 고양시 일산서구 일산동 2340,,,2018-08-16,2.5,2,1.5,하수관로 파손
경기도 용인시 기흥구 마북동 139 현대필그린아파트 단지 내,37.3073724,127.1284497,2018-08-17,1,1,1.5,우수관로 파손
경상북도 상주시 도남동 산 2-1,36.4550858,128.2489572,2018-08-18,3,4,1,타 지하시설물 파손
부산광역시 연제구  월드컵대로 21,,,2018-08-21,1,1,1,상수관로 파손
전라남도 순천시 풍덕동 867-1번지,34.9429663,127.5039684,2018-08-21,65,1,0.5,지반 시공불량
